position,target_token,kld_teacher_candidate,target_nll_teacher,target_nll_candidate,target_nll_delta,teacher_top1,candidate_top1,top1_equal,teacher_margin,teacher_top1_in_candidate_top5,teacher_top1_in_candidate_top10,top5_overlap,top10_overlap,centered_logit_rmse,centered_logit_cosine
0,30076,0.13657450610362848,6.644370516689534,7.455899969933817,0.8115294532442832,1830,1830,True,0.00188446044921875,True,True,0.8,0.6,0.5442154410196984,0.9795784604660205
1,421,0.11027613640609574,0.2932071342388127,0.5741402207442086,0.28093308650539583,421,421,True,1.7846603393554688,True,True,0.8,0.7,0.6346385960103129,0.9691298952682612
2,279,0.031237751342715572,0.37153124245870117,0.43583030735532446,0.06429906489662329,279,279,True,1.8514842987060547,True,True,1.0,0.8,0.6075626125692088,0.9724044004308273
3,3594,0.18962736781995215,7.512770835340493,6.54460046750183,-0.9681703678386633,11661,491,False,0.07253837585449219,True,True,0.6,0.8,0.6558874452087963,0.970249149911757
4,995,0.21623253676802592,3.6749803335529982,4.307244024459418,0.6322636909064201,9039,9039,True,0.7157192230224609,True,True,0.6,0.8,0.6791202144199822,0.970711305579063
5,78911,0.18170117277145134,3.455314072685624,4.516695312170761,1.0613812394851365,978,978,True,1.2145347595214844,True,True,0.8,0.8,0.556137141816473,0.977838376002217
6,13,0.1080192714445006,1.2089552652805189,1.140519724498759,-0.06843554078175984,13,13,True,0.42496490478515625,True,True,0.8,0.7,0.5673883102417587,0.9747099592355499
7,2838,0.08939868830844651,5.772997234298984,5.905963733717318,0.13296649941833394,198,198,True,1.2342185974121094,True,True,1.0,0.8,0.5805395386770977,0.9705035141111065
8,9770,0.22034539480630985,4.957723644425013,5.14971258311321,0.19198893868819766,1467,557,False,0.13860321044921875,True,True,0.8,0.6,0.5549807706214834,0.9756745419663393
9,279,0.05924014963900006,0.46473049693731383,0.3700567350088626,-0.09467376192845123,279,279,True,2.8748130798339844,True,True,0.8,0.9,0.5243787240574985,0.9789746298678161
